payment_id,customer_id,amount,failure_reason,attempt_number,successful_payment_count,failed_payment_count,customer_ltv,subscription_age,payment_method,days_since_last_success,previous_recovery_rate,recovered
pay_000000,C8270,499,GATEWAY_ERROR,3,10,1,4990.0,12,netbanking,24,0.53,0
pay_000001,C1860,4999,INSUFFICIENT_FUNDS,1,7,0,34993.0,7,upi,2,1.0,1
pay_000002,C6390,499,EXPIRED_CARD,1,2,1,998.0,2,card,11,0.85,0
pay_000003,C6191,499,GATEWAY_ERROR,1,19,1,9481.0,19,nach_mandate,32,0.88,1
pay_000004,C6734,1999,INSUFFICIENT_FUNDS,2,2,0,3998.0,2,nach_mandate,1,1.0,1
pay_000005,C7265,1999,MANDATE_FAILURE,2,17,0,33983.0,16,netbanking,35,1.0,0
pay_000006,C1466,499,INSUFFICIENT_FUNDS,1,5,0,2495.0,10,upi,34,1.0,1
pay_000007,C5426,4999,BANK_DECLINE,1,3,0,14997.0,6,card,10,1.0,1
pay_000008,C6578,2999,BANK_DECLINE,2,8,0,23992.0,12,card,43,1.0,1
pay_000009,C9322,999,BANK_DECLINE,1,22,0,21978.0,18,card,8,1.0,1
pay_000010,C2685,999,EXPIRED_CARD,2,35,0,34965.0,34,card,23,1.0,1
pay_000011,C1769,2999,UNKNOWN,2,2,0,5998.0,4,card,47,1.0,1
pay_000012,C7949,2999,BANK_DECLINE,1,30,0,89970.0,36,card,56,1.0,1
pay_000013,C3433,2999,BANK_DECLINE,1,34,1,101966.0,39,nach_mandate,9,0.66,1
pay_000014,C6311,999,INSUFFICIENT_FUNDS,3,15,0,14985.0,21,card,43,1.0,0
pay_000015,C6051,2999,BANK_DECLINE,1,29,0,86971.0,26,card,2,1.0,1
pay_000016,C7420,1999,GATEWAY_ERROR,1,8,1,15992.0,15,card,6,0.86,1
pay_000017,C2184,999,BANK_DECLINE,3,1,1,999.0,1,card,97,0.64,0
pay_000018,C5555,9999,EXPIRED_CARD,2,17,1,169983.0,11,upi,5,0.65,1
pay_000019,C4385,1999,EXPIRED_CARD,1,24,0,47976.0,17,card,7,1.0,0
pay_000020,C7396,2999,INSUFFICIENT_FUNDS,2,39,1,116961.0,35,upi,56,0.84,0
pay_000021,C9666,2999,INSUFFICIENT_FUNDS,1,10,0,29990.0,11,card,91,1.0,1
pay_000022,C3558,499,EXPIRED_CARD,1,19,0,9481.0,19,card,15,1.0,0
pay_000023,C8849,999,INSUFFICIENT_FUNDS,1,11,0,10989.0,15,nach_mandate,5,1.0,1
pay_000024,C3047,1999,UNKNOWN,2,4,0,7996.0,4,card,19,1.0,1
pay_000025,C3747,999,UNKNOWN,1,1,0,999.0,3,upi,14,1.0,1
pay_000026,C1189,9999,EXPIRED_CARD,1,21,1,209979.0,17,upi,2,0.69,1
pay_000027,C3734,1999,BANK_DECLINE,3,7,2,13993.0,4,upi,47,0.53,1
pay_000028,C4005,4999,GATEWAY_ERROR,1,5,0,24995.0,4,card,40,1.0,1
pay_000029,C5658,499,INSUFFICIENT_FUNDS,1,5,0,2495.0,13,card,7,1.0,1
pay_000030,C2899,4999,INSUFFICIENT_FUNDS,3,15,0,74985.0,19,card,62,1.0,1
pay_000031,C8734,999,MANDATE_FAILURE,4,12,1,11988.0,11,upi,19,0.8,0
pay_000032,C2267,499,INSUFFICIENT_FUNDS,2,16,0,7984.0,26,card,16,1.0,1
pay_000033,C2528,999,INSUFFICIENT_FUNDS,3,3,0,2997.0,3,card,16,1.0,1
pay_000034,C4556,9999,EXPIRED_CARD,3,3,1,29997.0,4,nach_mandate,7,0.59,0
pay_000035,C4890,9999,GATEWAY_ERROR,1,15,0,149985.0,13,upi,52,1.0,1
pay_000036,C9838,499,EXPIRED_CARD,2,16,1,7984.0,22,upi,16,0.53,0
pay_000037,C6393,999,INSUFFICIENT_FUNDS,3,10,0,9990.0,10,card,86,1.0,0
pay_000038,C9792,4999,GATEWAY_ERROR,1,0,0,0.0,1,card,69,1.0,0
pay_000039,C9433,499,INSUFFICIENT_FUNDS,1,11,0,5489.0,14,upi,1,1.0,1
pay_000040,C8513,9999,EXPIRED_CARD,1,24,0,239976.0,21,nach_mandate,7,1.0,0
pay_000041,C3612,999,BANK_DECLINE,1,3,0,2997.0,4,nach_mandate,24,1.0,1
pay_000042,C8041,499,INSUFFICIENT_FUNDS,3,0,0,0.0,1,card,180,1.0,0
pay_000043,C7235,999,EXPIRED_CARD,1,5,1,4995.0,9,card,19,0.66,0
pay_000044,C6486,2999,INSUFFICIENT_FUNDS,3,1,0,2999.0,1,netbanking,24,1.0,0
pay_000045,C8099,24999,BANK_DECLINE,2,7,0,174993.0,7,netbanking,8,1.0,1
pay_000046,C1775,499,GATEWAY_ERROR,1,0,0,0.0,1,upi,9,1.0,0
pay_000047,C9226,1999,INSUFFICIENT_FUNDS,1,5,0,9995.0,4,card,3,1.0,1
pay_000048,C4152,4999,GATEWAY_ERROR,1,5,1,24995.0,6,upi,5,0.84,1
pay_000049,C2585,4999,BANK_DECLINE,1,2,0,9998.0,2,card,6,1.0,1
pay_000050,C4943,999,MANDATE_FAILURE,1,1,0,999.0,2,netbanking,16,1.0,1
